ID_Client,Âge,Revenu_annuel,Score_depenses,Experience_travail,Taille_famille,cluster,Genre,Profession
43,48.0,12377.245760000002,36.0,14.0,3.0,4.0,Male,Artist
44,31.0,18565.86864,61.0,1.0,2.0,4.0,Female,Artist
45,49.0,40507.349760000005,28.0,8.0,1.0,2.0,Female,Engineer
46,24.0,1687.80624,65.0,4.0,2.0,4.0,Female,Lawyer
47,50.0,29255.308160000004,55.0,0.0,4.0,2.0,Female,Artist
48,27.0,39944.74768000001,47.0,12.0,1.0,2.0,Female,Healthcare
49,29.0,43882.96224000001,42.0,0.0,4.0,2.0,Female,Healthcare
50,31.0,14065.052,42.0,1.0,1.0,4.0,Female,Engineer
51,49.0,49508.98304000001,52.0,1.0,2.0,1.0,Female,Artist
52,33.0,54572.40176,60.0,1.0,2.0,1.0,Male,Artist
53,31.0,41632.553920000006,54.0,1.0,1.0,2.0,Female,Artist
54,59.0,38256.94144,60.0,0.0,2.0,2.0,Male,Entertainment
55,50.0,10126.83744,45.0,1.0,1.0,4.0,Female,Marketing
56,47.0,53447.19760000001,41.0,14.0,2.0,1.0,Male,Artist
57,51.0,39944.74768000001,50.0,9.0,4.0,2.0,Female,Healthcare
58,69.0,4500.816640000001,46.0,8.0,2.0,4.0,Male,Doctor
59,27.0,32068.318560000003,51.0,1.0,3.0,2.0,Female,Artist
60,53.0,50071.58512000001,46.0,1.0,6.0,1.0,Male,Lawyer
61,70.0,47258.57472,56.0,0.0,2.0,1.0,Male,Artist
62,19.0,28130.104000000003,55.0,9.0,2.0,2.0,Male,Artist
63,67.0,28130.104000000003,52.0,0.0,3.0,2.0,Female,Lawyer
64,54.0,27004.89984,59.0,1.0,2.0,2.0,Female,Lawyer
65,63.0,35443.93104,51.0,7.0,2.0,2.0,Male,Lawyer
66,18.0,5063.418720000001,59.0,0.0,2.0,4.0,Male,Entertainment
67,43.0,1687.80624,50.0,0.0,2.0,4.0,Female,Doctor
68,68.0,46133.37056,48.0,8.0,4.0,2.0,Female,Artist
69,19.0,45570.768480000006,59.0,0.0,4.0,2.0,Male,Artist
70,32.0,54572.40176,47.0,2.0,2.0,1.0,Female,Homemaker
71,70.0,51196.78928000001,55.0,8.0,2.0,1.0,Male,Healthcare
72,47.0,5063.418720000001,42.0,8.0,2.0,4.0,Female,Entertainment
73,60.0,24754.491520000003,49.0,0.0,5.0,2.0,Female,Artist
74,60.0,5626.020800000001,56.0,8.0,4.0,4.0,Female,Healthcare
75,59.0,50071.58512000001,47.0,0.0,4.0,1.0,Male,Artist
76,26.0,27567.50192,54.0,0.0,3.0,2.0,Male,Homemaker
77,45.0,37694.339360000005,53.0,0.0,2.0,2.0,Female,Doctor
78,40.0,55697.60592000001,48.0,4.0,3.0,1.0,Male,Artist
79,23.0,54572.40176,52.0,2.0,2.0,1.0,Female,Engineer
81,57.0,29255.308160000004,51.0,0.0,4.0,2.0,Male,Healthcare
82,38.0,34318.72688000001,55.0,6.0,3.0,2.0,Male,Healthcare
83,67.0,67512.24960000001,41.0,8.0,1.0,3.0,Male,Artist
84,46.0,19128.47072,44.0,8.0,4.0,4.0,Female,Entertainment
85,21.0,13502.44992,57.0,1.0,3.0,4.0,Female,Marketing
86,48.0,17440.664480000003,46.0,7.0,5.0,4.0,Male,Healthcare
87,55.0,6188.622880000001,58.0,0.0,3.0,4.0,Female,Artist
88,22.0,30943.1144,55.0,5.0,2.0,2.0,Female,Artist
89,34.0,42757.75808000001,60.0,7.0,3.0,2.0,Female,Entertainment
90,50.0,31505.716480000006,46.0,0.0,2.0,2.0,Female,Doctor
91,68.0,25879.695680000004,55.0,0.0,3.0,2.0,Female,Entertainment
92,18.0,20253.67488,41.0,1.0,4.0,4.0,Male,Artist
93,48.0,49508.98304000001,49.0,1.0,2.0,1.0,Male,Artist
94,40.0,17440.664480000003,40.0,1.0,2.0,4.0,Female,Entertainment
95,32.0,13502.44992,42.0,0.0,1.0,4.0,Female,Artist
96,24.0,45008.16640000001,52.0,10.0,1.0,2.0,Male,Artist
97,47.0,1125.2041600000002,47.0,0.0,1.0,4.0,Female,Artist
98,27.0,37694.339360000005,50.0,0.0,2.0,2.0,Female,Artist
99,48.0,32630.92064,42.0,1.0,2.0,2.0,Male,Doctor
100,20.0,45008.16640000001,49.0,3.0,3.0,2.0,Male,Engineer
101,23.0,36569.1352,41.0,0.0,4.0,2.0,Female,Artist
102,49.0,2250.4083200000005,48.0,1.0,7.0,4.0,Female,Executive
103,67.0,55135.003840000005,59.0,0.0,3.0,1.0,Male,Artist
104,26.0,29255.308160000004,55.0,0.0,5.0,2.0,Male,Executive
105,49.0,48383.778880000005,56.0,10.0,2.0,1.0,Male,Healthcare
106,21.0,46133.37056,42.0,1.0,2.0,2.0,Female,Doctor
107,66.0,24191.889440000003,50.0,3.0,2.0,4.0,Female,Homemaker
108,54.0,43882.96224000001,46.0,1.0,1.0,2.0,Male,Lawyer
109,68.0,7313.827040000001,43.0,6.0,5.0,4.0,Male,Healthcare
110,66.0,7313.827040000001,48.0,9.0,3.0,4.0,Male,Healthcare
111,65.0,19128.47072,52.0,4.0,4.0,4.0,Male,Entertainment
112,19.0,14065.052,54.0,0.0,1.0,4.0,Female,Artist
113,38.0,39944.74768000001,42.0,1.0,5.0,2.0,Female,Doctor
114,19.0,1125.2041600000002,46.0,1.0,1.0,4.0,Male,Artist
115,18.0,54572.40176,48.0,0.0,3.0,1.0,Female,Executive
116,19.0,28692.706080000007,50.0,8.0,4.0,2.0,Female,Executive
117,63.0,5063.418720000001,43.0,1.0,1.0,4.0,Female,Lawyer
118,49.0,44445.56432000001,59.0,0.0,2.0,2.0,Female,Artist
120,50.0,48946.38096,57.0,1.0,2.0,1.0,Female,Artist
121,27.0,20253.67488,56.0,0.0,3.0,4.0,Male,Executive
122,38.0,28130.104000000003,40.0,1.0,4.0,2.0,Female,Executive
123,40.0,54572.40176,58.0,9.0,4.0,1.0,Female,Engineer
124,39.0,3375.61248,91.0,1.0,3.0,4.0,Male,Healthcare
125,23.0,6751.2249600000005,29.0,9.0,2.0,4.0,Female,Entertainment
126,31.0,25879.695680000004,77.0,1.0,2.0,2.0,Female,Marketing
127,43.0,50071.58512000001,35.0,0.0,7.0,1.0,Male,Engineer
128,40.0,2250.4083200000005,95.0,0.0,2.0,4.0,Male,Artist
129,59.0,21378.879040000003,11.0,0.0,2.0,4.0,Male,Engineer
130,38.0,36006.53312000001,75.0,8.0,5.0,2.0,Male,Entertainment
131,47.0,37131.73728,9.0,9.0,5.0,2.0,Male,Executive
132,39.0,14627.654080000002,75.0,0.0,2.0,4.0,Male,Lawyer
133,25.0,23066.68528,34.0,6.0,4.0,4.0,Female,Healthcare
134,31.0,25317.093600000004,71.0,5.0,1.0,2.0,Female,Artist
135,20.0,50071.58512000001,5.0,1.0,2.0,1.0,Male,Engineer
136,29.0,51759.39136000001,88.0,5.0,5.0,1.0,Female,Executive
137,44.0,42757.75808000001,7.0,5.0,2.0,2.0,Female,Artist
138,32.0,47821.1768,73.0,3.0,4.0,1.0,Male,Artist
139,19.0,12377.245760000002,10.0,8.0,4.0,4.0,Male,Marketing
140,35.0,8439.031200000001,72.0,4.0,4.0,4.0,Female,Artist
141,57.0,18003.266560000004,5.0,0.0,2.0,4.0,Female,Engineer
142,32.0,37131.73728,93.0,0.0,5.0,2.0,Male,Artist
143,28.0,34881.328960000006,40.0,5.0,3.0,2.0,Female,Doctor
144,32.0,47821.1768,87.0,1.0,2.0,1.0,Female,Lawyer
145,25.0,39944.74768000001,12.0,0.0,5.0,2.0,Male,Engineer
146,28.0,14627.654080000002,97.0,8.0,5.0,4.0,Male,Marketing
147,48.0,29255.308160000004,36.0,9.0,2.0,2.0,Male,Engineer
148,32.0,21378.879040000003,74.0,1.0,1.0,4.0,Female,Lawyer
149,34.0,28692.706080000007,22.0,7.0,4.0,2.0,Female,Healthcare
150,34.0,50634.18720000001,90.0,6.0,3.0,1.0,Male,Artist
151,43.0,16878.062400000003,17.0,0.0,9.0,4.0,Male,Lawyer
152,39.0,23066.68528,88.0,0.0,1.0,4.0,Male,Engineer
153,44.0,9564.23536,20.0,0.0,2.0,4.0,Female,Engineer
154,38.0,51759.39136000001,76.0,2.0,2.0,1.0,Female,Artist
155,47.0,45008.16640000001,16.0,0.0,4.0,2.0,Female,Healthcare
156,27.0,5626.020800000001,89.0,8.0,4.0,4.0,Female,Marketing
157,37.0,9001.633280000002,1.0,1.0,1.0,4.0,Male,Executive
158,30.0,48946.38096,78.0,3.0,4.0,1.0,Female,Artist
159,34.0,37131.73728,1.0,1.0,2.0,2.0,Male,Lawyer
160,30.0,48383.778880000005,73.0,3.0,3.0,1.0,Female,Artist
161,56.0,5063.418720000001,35.0,1.0,1.0,4.0,Female,Artist
162,29.0,28130.104000000003,83.0,1.0,5.0,2.0,Female,Healthcare
163,19.0,19691.0728,5.0,0.0,5.0,4.0,Male,Executive
164,31.0,32630.92064,93.0,1.0,5.0,2.0,Female,Healthcare
165,50.0,26442.297760000005,26.0,0.0,2.0,2.0,Male,Doctor
166,36.0,30380.51232,75.0,5.0,3.0,2.0,Female,Artist
167,42.0,44445.56432000001,20.0,9.0,3.0,2.0,Male,Homemaker
168,33.0,46695.97264000001,95.0,0.0,5.0,1.0,Female,Artist
169,36.0,32068.318560000003,27.0,0.0,3.0,2.0,Female,Artist
170,32.0,0.0,63.0,2.0,2.0,4.0,Male,Artist
171,40.0,38819.54352000001,13.0,3.0,5.0,2.0,Male,Artist
172,28.0,2250.4083200000005,75.0,0.0,2.0,4.0,Male,Executive
173,36.0,44445.56432000001,10.0,0.0,2.0,2.0,Male,Lawyer
174,36.0,55697.60592000001,92.0,5.0,2.0,1.0,Male,Artist
175,52.0,11252.041600000002,13.0,0.0,2.0,4.0,Female,Lawyer
176,30.0,15752.858240000003,86.0,3.0,4.0,4.0,Female,Artist
177,58.0,16315.46032,15.0,11.0,1.0,4.0,Male,Engineer
178,27.0,25317.093600000004,69.0,2.0,6.0,2.0,Male,Healthcare
179,59.0,48383.778880000005,14.0,4.0,3.0,1.0,Male,Healthcare
180,35.0,23629.28736,90.0,8.0,1.0,4.0,Male,Engineer
181,37.0,33193.52272000001,32.0,7.0,2.0,2.0,Female,Artist
182,32.0,34318.72688000001,86.0,7.0,5.0,2.0,Female,Entertainment
183,46.0,6188.622880000001,15.0,7.0,1.0,4.0,Male,Artist
184,29.0,37131.73728,88.0,4.0,4.0,2.0,Female,Artist
185,41.0,21941.481120000004,39.0,1.0,1.0,4.0,Female,Artist
186,30.0,40507.349760000005,97.0,6.0,2.0,2.0,Male,Artist
187,54.0,7876.429120000002,24.0,1.0,2.0,4.0,Female,Lawyer
188,28.0,24754.491520000003,68.0,5.0,3.0,2.0,Male,Doctor
189,41.0,42757.75808000001,17.0,8.0,2.0,2.0,Female,Engineer
190,36.0,53447.19760000001,85.0,4.0,2.0,1.0,Female,Artist
191,34.0,51759.39136000001,23.0,5.0,3.0,1.0,Female,Artist
192,32.0,55135.003840000005,69.0,8.0,2.0,1.0,Female,Artist
193,33.0,54009.79968,8.0,9.0,2.0,1.0,Male,Executive
194,38.0,25317.093600000004,91.0,10.0,4.0,2.0,Female,Artist
195,47.0,4500.816640000001,16.0,7.0,2.0,4.0,Female,Artist
196,35.0,25879.695680000004,79.0,1.0,3.0,2.0,Female,Executive
197,45.0,43882.96224000001,28.0,0.0,2.0,2.0,Female,Artist
198,32.0,2250.4083200000005,74.0,1.0,5.0,4.0,Male,Artist
199,32.0,45570.768480000006,18.0,1.0,2.0,2.0,Male,Executive
200,30.0,18565.86864,83.0,4.0,2.0,4.0,Male,Artist
201,21.0,22504.083200000005,10.0,0.0,3.0,4.0,Female,Healthcare
202,34.0,47821.1768,16.0,9.0,3.0,1.0,Male,Healthcare
203,16.0,33756.124800000005,0.0,6.0,8.0,2.0,Female,Engineer
204,76.0,33756.124800000005,39.0,4.0,2.0,2.0,Female,Healthcare
205,62.0,35443.93104,59.0,0.0,2.0,2.0,Female,Entertainment
206,63.0,5626.020800000001,52.0,8.0,3.0,4.0,Female,Healthcare
207,19.0,30943.1144,61.0,0.0,3.0,2.0,Female,Healthcare
208,46.0,52321.99344000001,12.0,2.0,1.0,1.0,Male,Artist
209,48.0,8439.031200000001,7.0,0.0,2.0,4.0,Female,Doctor
210,80.0,21941.481120000004,33.0,9.0,4.0,4.0,Female,Engineer
211,1.0,32068.318560000003,93.0,1.0,2.0,2.0,Female,Engineer
212,0.0,12377.245760000002,92.0,2.0,1.0,4.0,Female,Artist
213,86.0,6751.2249600000005,70.0,2.0,4.0,4.0,Male,Marketing
214,49.0,28130.104000000003,82.0,8.0,1.0,2.0,Male,Lawyer
215,48.0,53447.19760000001,68.0,2.0,4.0,1.0,Male,Doctor
216,46.0,37131.73728,70.0,3.0,3.0,2.0,Female,Healthcare
217,79.0,11252.041600000002,40.0,6.0,2.0,4.0,Male,Doctor
218,83.0,19691.0728,99.0,8.0,2.0,4.0,Female,Doctor
219,66.0,39944.74768000001,34.0,9.0,2.0,2.0,Female,Executive
221,39.0,47258.57472,33.0,5.0,3.0,1.0,Female,Artist
222,95.0,40507.349760000005,51.0,4.0,2.0,2.0,Female,Engineer
223,43.0,18565.86864,55.0,4.0,3.0,4.0,Male,Artist
224,93.0,52321.99344000001,37.0,1.0,5.0,1.0,Female,Healthcare
225,40.0,46695.97264000001,48.0,4.0,1.0,1.0,Female,Homemaker
226,78.0,12939.847840000002,8.0,1.0,1.0,4.0,Female,Engineer
227,25.0,22504.083200000005,77.0,5.0,4.0,4.0,Female,Artist
228,76.0,50071.58512000001,86.0,9.0,4.0,1.0,Male,Healthcare
229,0.0,18565.86864,64.0,1.0,1.0,4.0,Male,Marketing
230,15.0,52884.59552000001,30.0,7.0,2.0,1.0,Male,Healthcare
231,6.0,52321.99344000001,53.0,8.0,2.0,1.0,Female,Lawyer
232,84.0,3938.214560000001,28.0,0.0,4.0,4.0,Male,Healthcare
233,67.0,10126.83744,88.0,0.0,2.0,4.0,Female,Lawyer
234,78.0,1687.80624,14.0,0.0,4.0,4.0,Female,Healthcare
235,4.0,47258.57472,54.0,9.0,1.0,1.0,Female,Artist
236,29.0,34881.328960000006,34.0,0.0,4.0,2.0,Female,Healthcare
237,91.0,5063.418720000001,96.0,1.0,5.0,4.0,Male,Healthcare
239,55.0,20816.276960000003,74.0,1.0,4.0,4.0,Male,Lawyer
240,14.0,28130.104000000003,11.0,1.0,2.0,2.0,Female,Artist
241,92.0,46695.97264000001,16.0,1.0,5.0,1.0,Male,Executive
242,65.0,44445.56432000001,17.0,0.0,3.0,2.0,Female,Artist
243,84.0,22504.083200000005,14.0,1.0,4.0,4.0,Female,Healthcare
244,77.0,26442.297760000005,58.0,0.0,6.0,2.0,Female,Artist
245,53.0,2250.4083200000005,20.0,0.0,4.0,4.0,Female,Artist
246,28.0,21378.879040000003,75.0,7.0,2.0,4.0,Female,Entertainment
247,23.0,0.0,96.0,1.0,3.0,4.0,Male,Doctor
248,32.0,3938.214560000001,16.0,1.0,2.0,4.0,Female,Artist
249,37.0,23066.68528,2.0,1.0,2.0,4.0,Female,Artist
250,89.0,36569.1352,0.0,0.0,5.0,2.0,Female,Engineer
251,80.0,11252.041600000002,93.0,1.0,3.0,4.0,Male,Engineer
252,27.0,24754.491520000003,65.0,8.0,1.0,2.0,Female,Doctor
253,78.0,1687.80624,14.0,5.0,4.0,4.0,Female,Artist
254,86.0,40507.349760000005,13.0,7.0,3.0,2.0,Female,Lawyer
255,46.0,15190.25616,32.0,4.0,4.0,4.0,Female,Engineer
256,59.0,47821.1768,49.0,4.0,2.0,1.0,Male,Lawyer
257,12.0,21378.879040000003,18.0,10.0,1.0,4.0,Male,Executive
258,79.0,41069.95184,96.0,6.0,7.0,2.0,Male,Homemaker
259,79.0,36006.53312000001,64.0,2.0,3.0,2.0,Female,Artist
260,26.0,14627.654080000002,60.0,6.0,4.0,4.0,Male,Executive
261,63.0,26442.297760000005,16.0,2.0,3.0,2.0,Female,Artist
262,52.0,19691.0728,85.0,2.0,6.0,4.0,Female,Doctor
263,32.0,17440.664480000003,24.0,2.0,3.0,4.0,Female,Lawyer
264,64.0,7313.827040000001,38.0,3.0,4.0,4.0,Female,Engineer
265,37.0,44445.56432000001,10.0,1.0,7.0,2.0,Female,Homemaker
266,7.0,46133.37056,39.0,2.0,2.0,2.0,Male,Entertainment
267,40.0,15752.858240000003,68.0,1.0,1.0,4.0,Female,Artist
268,78.0,20253.67488,79.0,0.0,3.0,4.0,Female,Artist
269,34.0,4500.816640000001,76.0,6.0,6.0,4.0,Female,Entertainment
270,52.0,49508.98304000001,39.0,1.0,2.0,1.0,Female,Artist
271,94.0,51196.78928000001,36.0,0.0,4.0,1.0,Male,Entertainment
272,1.0,6751.2249600000005,82.0,0.0,3.0,4.0,Female,Doctor
273,96.0,562.6020800000001,76.0,0.0,3.0,4.0,Female,Entertainment
274,18.0,80452.09744000001,99.0,0.0,2.0,3.0,Female,Artist
275,37.0,10126.83744,57.0,1.0,2.0,4.0,Female,Artist
276,78.0,36569.1352,89.0,1.0,2.0,2.0,Male,Lawyer
277,16.0,5063.418720000001,88.0,7.0,4.0,4.0,Male,Executive
278,93.0,53447.19760000001,21.0,1.0,1.0,1.0,Male,Artist
279,74.0,43882.96224000001,12.0,9.0,3.0,2.0,Female,Engineer
280,68.0,27004.89984,73.0,3.0,3.0,2.0,Male,Healthcare
281,32.0,35443.93104,87.0,1.0,4.0,2.0,Female,Executive
282,43.0,47821.1768,63.0,1.0,2.0,1.0,Female,Marketing
283,52.0,24191.889440000003,58.0,1.0,3.0,4.0,Female,Artist
284,63.0,41632.553920000006,20.0,1.0,2.0,2.0,Female,Artist
285,33.0,37694.339360000005,11.0,0.0,1.0,2.0,Female,Healthcare
286,86.0,33193.52272000001,40.0,0.0,1.0,2.0,Male,Artist
287,85.0,78764.2912,84.0,1.0,1.0,3.0,Female,Entertainment
288,73.0,17440.664480000003,47.0,1.0,2.0,4.0,Female,Healthcare
289,21.0,2813.010400000001,91.0,0.0,1.0,4.0,Female,Marketing
290,93.0,10689.439520000002,58.0,1.0,3.0,4.0,Female,Engineer
291,9.0,15190.25616,62.0,7.0,1.0,4.0,Male,Entertainment
292,10.0,38256.94144,80.0,6.0,3.0,2.0,Female,Doctor
293,11.0,21378.879040000003,66.0,8.0,8.0,4.0,Male,Artist
294,48.0,28130.104000000003,36.0,6.0,4.0,2.0,Female,Engineer
295,73.0,45008.16640000001,73.0,2.0,2.0,2.0,Female,Entertainment
296,66.0,38819.54352000001,43.0,9.0,3.0,2.0,Female,Executive
297,79.0,17440.664480000003,91.0,3.0,3.0,4.0,Female,Engineer
298,62.0,48946.38096,41.0,6.0,2.0,1.0,Male,Doctor
299,17.0,44445.56432000001,16.0,1.0,3.0,2.0,Male,Artist
300,32.0,18003.266560000004,86.0,5.0,2.0,4.0,Male,Entertainment
301,85.0,86520.88607696001,100.0,3.0,3.0,3.0,Male,Entertainment
302,31.0,53925.97197008,16.0,5.0,2.0,1.0,Male,Healthcare
303,31.0,81585.74063120001,73.0,6.0,3.0,3.0,Female,Healthcare
304,38.0,83568.35036112,7.0,5.0,2.0,3.0,Female,Healthcare
305,90.0,66003.91342352,21.0,1.0,2.0,1.0,Female,Lawyer
306,65.0,101405.08670544002,26.0,6.0,2.0,0.0,Female,Marketing
307,63.0,92858.59850816,12.0,4.0,2.0,0.0,Female,Artist
308,61.0,67786.23681296,14.0,0.0,2.0,3.0,Female,Doctor
309,26.0,63442.38615328001,83.0,8.0,4.0,1.0,Male,Engineer
310,17.0,88040.47429504,65.0,1.0,4.0,0.0,Female,Engineer
311,56.0,54888.58412896001,15.0,5.0,6.0,1.0,Male,Executive
312,12.0,43602.22380207999,30.0,5.0,4.0,2.0,Female,Engineer
313,24.0,66556.95126816,100.0,5.0,1.0,1.0,Female,Lawyer
314,13.0,36162.37389616001,9.0,9.0,4.0,2.0,Female,Executive
315,12.0,30339.44236816001,77.0,2.0,3.0,2.0,Male,Doctor
316,72.0,52840.14995568,93.0,9.0,2.0,1.0,Male,Lawyer
317,54.0,74289.35425568001,8.0,4.0,4.0,3.0,Female,Homemaker
318,45.0,103078.26529136,91.0,7.0,2.0,0.0,Male,Artist
319,66.0,102920.73670896002,44.0,8.0,1.0,0.0,Male,Marketing
320,27.0,38409.96920576,56.0,8.0,4.0,2.0,Female,Healthcare
321,36.0,39292.69186928001,21.0,10.0,2.0,2.0,Male,Engineer
322,5.0,38863.42648224001,60.0,13.0,1.0,2.0,Male,Lawyer
323,89.0,62261.48438736001,100.0,2.0,4.0,1.0,Female,Healthcare
324,13.0,53711.05797552001,94.0,6.0,1.0,1.0,Male,Doctor
325,91.0,57869.81255088,40.0,4.0,1.0,1.0,Female,Artist
326,16.0,75136.07038608,7.0,3.0,1.0,3.0,Male,Artist
327,63.0,36337.905745120006,90.0,7.0,1.0,2.0,Female,Engineer
328,52.0,85940.2807304,39.0,4.0,2.0,3.0,Male,Engineer
329,37.0,51935.48581104001,58.0,1.0,5.0,1.0,Female,Healthcare
330,78.0,55653.72295776001,2.0,2.0,3.0,1.0,Female,Artist
331,24.0,93305.30455968,33.0,0.0,4.0,0.0,Male,Engineer
332,4.0,52723.12872304001,62.0,3.0,4.0,1.0,Female,Engineer
333,84.0,77437.11289327999,67.0,0.0,5.0,3.0,Male,Healthcare
334,0.0,97748.17318544,96.0,0.0,4.0,0.0,Male,Artist
335,67.0,65332.72914208,58.0,10.0,2.0,1.0,Female,Entertainment
336,32.0,63149.83307167999,30.0,8.0,3.0,1.0,Female,Healthcare
337,39.0,39035.58271872001,75.0,1.0,5.0,2.0,Female,Healthcare
338,68.0,43055.37458032,62.0,0.0,2.0,2.0,Female,Healthcare
339,7.0,69652.38791232002,28.0,14.0,1.0,3.0,Female,Doctor
340,76.0,38421.22124736,55.0,8.0,2.0,2.0,Female,Artist
341,84.0,97434.24122480002,99.0,3.0,1.0,0.0,Female,Artist
342,75.0,79908.62383072,82.0,1.0,4.0,3.0,Male,Entertainment
343,22.0,60727.83111728,61.0,0.0,1.0,1.0,Male,Artist
344,90.0,84300.29566720001,61.0,1.0,1.0,3.0,Female,Engineer
345,4.0,83507.58933648,99.0,1.0,8.0,3.0,Female,Healthcare
346,78.0,71224.86072592,84.0,0.0,3.0,3.0,Female,Lawyer
347,58.0,32169.586934399995,22.0,9.0,1.0,2.0,Female,Healthcare
348,99.0,103758.45120608,41.0,9.0,1.0,0.0,Female,Artist
349,24.0,85000.73525680002,39.0,2.0,5.0,3.0,Female,Marketing
350,88.0,93452.14370256,98.0,13.0,4.0,0.0,Female,Artist
351,92.0,38172.55112800001,91.0,9.0,4.0,2.0,Female,Artist
352,99.0,97551.82505952002,4.0,13.0,1.0,0.0,Male,Engineer
353,51.0,40677.81819024,98.0,7.0,1.0,2.0,Female,Lawyer
354,23.0,102258.55406080004,35.0,14.0,3.0,0.0,Male,Healthcare
355,13.0,82622.61626464,75.0,9.0,1.0,3.0,Female,Doctor
356,22.0,97286.83947984,20.0,6.0,1.0,0.0,Male,Engineer
357,89.0,65155.50948688001,87.0,11.0,4.0,1.0,Female,Homemaker
358,20.0,103701.06579392002,51.0,13.0,5.0,0.0,Male,Marketing
359,72.0,37892.93789424,19.0,9.0,3.0,2.0,Female,Lawyer
360,17.0,93391.38267792,71.0,9.0,3.0,0.0,Male,Healthcare
361,90.0,92780.95942112,18.0,8.0,3.0,0.0,Male,Artist
362,99.0,35648.718197120004,61.0,1.0,2.0,2.0,Male,Entertainment
363,39.0,102591.61449216,73.0,4.0,3.0,0.0,Female,Engineer
364,37.0,83571.16337152002,56.0,1.0,2.0,3.0,Female,Entertainment
365,46.0,35349.976492639995,85.0,1.0,2.0,2.0,Male,Artist
366,65.0,67865.00110416001,72.0,0.0,2.0,3.0,Male,Healthcare
367,60.0,73643.48706784,30.0,1.0,1.0,3.0,Female,Artist
368,93.0,58021.1525104,74.0,12.0,3.0,1.0,Female,Executive
369,72.0,60018.95249648,15.0,9.0,5.0,1.0,Male,Healthcare
370,36.0,49144.97949424001,25.0,1.0,5.0,1.0,Female,Entertainment
371,52.0,49534.86273568,61.0,8.0,1.0,1.0,Male,Artist
372,72.0,55229.52098944001,49.0,1.0,2.0,1.0,Female,Entertainment
373,28.0,100292.25979120002,5.0,2.0,1.0,0.0,Female,Lawyer
374,48.0,94085.07104256,92.0,6.0,4.0,0.0,Female,Doctor
375,85.0,79033.21499424001,43.0,6.0,4.0,3.0,Male,Doctor
